id,name,cuisine_genre_id,tel,zipcode,pref_id,address1,address2,gmap_url,access,business_hours,regular_holiday,parking_flag,parking_text,credit_card,electronic_money,hp_url,gnavi_url,tabelog_url,demaecan_url,ubereats_url
1,鉄板料理 花六,3,050-5594-2358,600-8176,26,京都市下京区,烏丸通六条下る北町190,https://g.page/KyotoTeppanyaki?share,"■JR線　京都駅　…　中央口より徒歩12分
■市営地下鉄烏丸線　五条駅　…　8出口より徒歩1分",通常：17時30分～22時:30分（ 21時30分L.O）,無(但し、法定点検に準ずるホテル休業日あり）,0,,VISA、Master、JCB、AMEX、Diners,,https://www.hotelkanra.jp/restaurant/,https://r.gnavi.co.jp/8y5fc4gp0000/,https://tabelog.com/kyoto/A2601/A260101/26028194/,,
2,ロテイー チキンアンドジャッキー タコス,13,050-5594-3566,600-8414,26,京都市下京区,高辻通烏丸東入ル匂天神町642-3,https://goo.gl/maps/apa9hpMq4RdjG6We7,"阪急京都線 烏丸駅 徒歩10分
地下鉄烏丸線 四条駅 徒歩10分
ＪＲ 京都駅 車8分","火～日・祝前日・祝日
ランチ　11:00～16:00
ディナー　16:00～23:00
（L.O.22:00、ドリンクL.O.22:30）","月曜日
月曜日祝日の場合、翌火曜日が休みとさせていただきます。",0,,JCB、AMEX、VISA、Master,,http://rcjt.jp/,https://r.gnavi.co.jp/2r3ajwtg0000/,https://tabelog.com/kyoto/A2601/A260201/26025041/,,
3,京季節料理 凛月,6,050-3468-3483,604-0022,26,京都市中京区,室町御池上ル御池之町308,https://goo.gl/maps/D2CLW4zyU49jqwQT6,京都市営地下鉄烏丸線 烏丸御池駅 2番出口 徒歩2分,"月～土
12:00～14:00
(予約のみ)
17:30～23:00
（L.O.22:30）","日曜日
(10名以上の予約で営業)　連休の場合は最終月曜日が休み",0,,VISA、Master、JCB、AMEX、Diners,,https://ringetsu.gorp.jp/,https://r.gnavi.co.jp/c916700/,https://tabelog.com/kyoto/A2601/A260202/26007927/,,
4,ヤキニク甲 蛸薬師店,14,050-5595-6586,604-8063,26,京都市中京区,油屋町120-1,https://goo.gl/maps/7U2uQoRd1KfxAfTz9,"阪急京都線 烏丸駅 徒歩5分
阪急京都線 京都河原町駅 徒歩5分
地下鉄東西線 烏丸御池駅 徒歩10分
京阪本線 祇園四条駅 徒歩12分","月～金
ディナー　18:00～22:00

土・日・祝
ディナー　17:00～22:00

ランチ　12:00～14:00
◆テイクアウト注文・受け取り可能時間◆
全日11：00〜21：00",無,0,,VISA、Master、JCB、AMEX、Diners,WeChatPay、Alipay、PayPay,https://kinoe-yd.com/takoyakushi/,https://r.gnavi.co.jp/c50n1ya90000/,https://tabelog.com/kyoto/A2601/A260201/26030731/,,
5,ベジョータ ムアムア 烏丸三条,13,050-3313-1975,604-8136,26,京都市中京区,三条通烏丸東入梅忠町20-1 烏丸アネックスB1,https://goo.gl/maps/SR35J9Jb2htXggSXA,"地下鉄烏丸線 烏丸御池駅 徒歩1分
阪急京都線 烏丸駅 徒歩5分
地下鉄東西線 烏丸御池駅 徒歩1分
ＪＲ 京都駅 車10分","17:00～翌1:00
（L.O.24:30）","日曜日
年末年始（2019年12月31日～2020年1月3日）
お店にお問い合わせください",0,,VISA、Master、JCB、AMEX,,http://bellota.jp/karasuma_sanjo/,https://r.gnavi.co.jp/snpmrvrz0000/,https://tabelog.com/kyoto/A2601/A260202/26022612/,,
6,風見鶏 烏丸六角店,15,050-3468-7109,604-8134,26,京都市中京区,六角通烏丸東入ル堂之前町230-2,https://goo.gl/maps/9bYNyLXqSnMiu9pf7,"阪急京都線 烏丸駅 徒歩5分
地下鉄烏丸線 四条駅 徒歩5分
地下鉄烏丸線 烏丸御池駅 徒歩3分","月～日
ディナー　17:00～翌1:00
（L.O.24:30）",不定休日あり,0,,VISA、Master、JCB、AMEX、Diners,交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay,https://kazamidori.owst.jp/,https://r.gnavi.co.jp/c427901/,https://tabelog.com/kyoto/A2601/A260202/26017489/,,
7,お好み焼 あらた 四条堀川店,5,050-3313-2617,600-8498,26,京都市下京区,四条通堀川東入柏屋町7,https://goo.gl/maps/oZx3PoExoytynQeLA,"阪急京都線 大宮駅 徒歩5分
京福嵐山本線 四条大宮駅 徒歩5分","月～金・祝前日・祝日
ランチ　11:30～15:00
（L.O.14:30）

月～土・祝前日・祝日
ディナー　17:00～23:00
（L.O.22:15、ドリンクL.O.22:40）",日曜日,0,,不可,,https://arata-shijohorikawa.owst.jp/,https://r.gnavi.co.jp/d31gc4pg0000/,https://tabelog.com/kyoto/A2601/A260203/26028865/,,https://www.ubereats.com/jp/kyoto/food-delivery/%E3%81%82%E3%82%89%E3%81%9F-%E5%9B%9B%E6%9D%A1%E5%A0%80%E5%B7%9D%E5%BA%97-arata-sijohorikawa/XN4QL_CmSbqMXhuqmjTBCw
8,京都 五黄の寅,19,050-3462-8033,600-8441,26,京都市下京区,四条町369 コーポ綾小路1F,https://goo.gl/maps/531hZgU2hQjvMqfB7,"地下鉄烏丸線 四条駅 徒歩3分
阪急京都線 烏丸駅 徒歩3分","17:00～24:00
（L.O.23:00、ドリンクL.O.23:30）",不定休日あり,0,,VISA、Master、JCB、AMEX、Diners,,http://www.gohnotora.com/,https://r.gnavi.co.jp/a2de8kxr0000/,https://tabelog.com/kyoto/A2601/A260201/26023483/,,
9,京都 瓢斗 四条烏丸店,16,050-5868-9916,604-8156,26,京都市中京区,室町通蛸薬師下ル山伏山町550-1,https://goo.gl/maps/BpikDcmJWB7muuoz9,"阪急烏丸駅/地下鉄四条駅24番出口すぐ
烏丸駅から273m","【日～木】
昼　　 11:30～15:00(L.O.14:00)
夜　　 17:30～22:00(L.O.21:00)
【金・土・祝前日】
昼　　 11:30～15:00(L.O.14:00)
夜　　 17:30～22:30(L.O.21:30)
＊月～金・祝前日のお昼は12:00～の営業です。

日曜営業",年中無休,0,,VISA、Master、JCB、AMEX、Diners,交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay,https://hyoto.jp/shop/kyotoshijokarasuma/,https://r.gnavi.co.jp/1sj445js0000/,https://tabelog.com/kyoto/A2601/A260202/26002130/,,https://www.ubereats.com/jp/kyoto/food-delivery/%E4%BA%AC%E9%83%BD-%E7%93%A2%E6%96%97-%E5%9B%9B%E6%9D%A1%E7%83%8F%E4%B8%B8%E5%BA%97-kyoto-hyoto-shijokarasuma/i9V6HribQlaYQmq5pgUhGw
10,ラ・パーチェ,9,050-3468-3511,604-8127 ,26,京都市中京区,堺町通錦小路上ル菊屋町531,https://g.page/Ttrattoria-La-Pace?share,"阪急京都線 烏丸駅 徒歩3分
阪急京都線 河原町駅 徒歩3分
地下鉄東西線 烏丸御池駅 徒歩5分
地下鉄烏丸線 烏丸御池駅 徒歩5分","月～日
ランチ　11:30～14:00
ディナー　17:30～23:00
（L.O.22:00）","月曜日
月曜日が祝祭日場合は翌日が定休日
他不定休日あり",0,,VISA、Master、JCB、AMEX、Diners,交通系電子マネー（Suicaなど）、iD、QUICPay,https://lapace.gorp.jp/,https://r.gnavi.co.jp/ka77700/,https://tabelog.com/kyoto/A2601/A260202/26013067/,,
